time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,38,18,2,2
2026-04-20 00:00:00+00:00,80,34,0,0
2026-04-21 00:00:00+00:00,70,29,0,0
2026-04-22 00:00:00+00:00,111,37,3,1
2026-04-23 00:00:00+00:00,78,26,1,1
2026-04-24 00:00:00+00:00,112,39,1,1
2026-04-25 00:00:00+00:00,68,30,0,0
2026-04-26 00:00:00+00:00,25,9,1,1
2026-04-27 00:00:00+00:00,22,10,0,0
2026-04-28 00:00:00+00:00,26,9,0,0
2026-04-29 00:00:00+00:00,71,18,0,0
2026-04-30 00:00:00+00:00,27,10,1,1
2026-05-01 00:00:00+00:00,35,11,0,0
2026-05-02 00:00:00+00:00,45,14,0,0
