CODE,CATEGORY
F321,CODE_DEPRESSION_SINGLE
F325,CODE_DEPRESSION_SINGLE
F329,CODE_DEPRESSION_SINGLE
F32,CODE_DEPRESSION_SINGLE
F320,CODE_DEPRESSION_SINGLE
F3281,CODE_DEPRESSION_SINGLE
F322,CODE_DEPRESSION_SINGLE
F323,CODE_DEPRESSION_SINGLE
F324,CODE_DEPRESSION_SINGLE
F3341,CODE_DEPRESSION_RECURRENT
F334,CODE_DEPRESSION_RECURRENT
F3340,CODE_DEPRESSION_RECURRENT
F332,CODE_DEPRESSION_RECURRENT
F333,CODE_DEPRESSION_RECURRENT
F330,CODE_DEPRESSION_RECURRENT
F33,CODE_DEPRESSION_RECURRENT
F331,CODE_DEPRESSION_RECURRENT
F339,CODE_DEPRESSION_RECURRENT
F3342,CODE_DEPRESSION_RECURRENT
F328,CODE_DEPRESSION_OTHER
F3289,CODE_DEPRESSION_OTHER
F338,CODE_DEPRESSION_OTHER
Z915,CODE_SELF_HARM
R45851,CODE_SUICIDE_IDEATION
T1491,CODE_SUICIDE_ATTEMPT
T1491XA,CODE_SUICIDE_ATTEMPT
T1491XS,CODE_SUICIDE_ATTEMPT
T1491XD,CODE_SUICIDE_ATTEMPT
F411,CODE_ANXIETY_GAD
F401,CODE_ANXIETY_SOCIAL
F4010,CODE_ANXIETY_SOCIAL
F4011,CODE_ANXIETY_SOCIAL
F410,CODE_ANXIETY_PANIC
F419,CODE_ANXIETY_UNSPECIFIED
F41,CODE_ANXIETY_OTHER
F413,CODE_ANXIETY_OTHER
F418,CODE_ANXIETY_OTHER
F428,CODE_OCD
F423,CODE_OCD
F42,CODE_OCD
F422,CODE_OCD
F429,CODE_OCD
F424,CODE_OCD
F430,CODE_ANXIETY_ACUTE
F4311,CODE_PTSD
F4312,CODE_PTSD
F4310,CODE_PTSD
F431,CODE_PTSD
F430,CODE_TRAUMA
F4310,CODE_TRAUMA
F431,CODE_TRAUMA
F4311,CODE_TRAUMA
F4312,CODE_TRAUMA
F323,CODE_MHI
F10250,CODE_SUD_ALCOHOL
F1014,CODE_SUD_ALCOHOL
F10159,CODE_SUD_ALCOHOL
F10220,CODE_SUD_ALCOHOL
F10188,CODE_SUD_ALCOHOL
F10181,CODE_SUD_ALCOHOL
K700,CODE_SUD_ALCOHOL
F102,CODE_SUD_ALCOHOL
F101,CODE_SUD_ALCOHOL
F10232,CODE_SUD_ALCOHOL
F10280,CODE_SUD_ALCOHOL
